Gen0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0073,0.0073,0.0097,0.0109,0.0148,0.0149,0.0903,0.0992,0.111,0.1523,
Gen1,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.007,0.0078,0.0096,0.0104,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.014,0.0871,0.0871,0.0971,0.0973,
Gen2,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.007,0.0073,0.0095,0.0103,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0377,0.0856,0.0857,0.0857,0.0858,0.0858,0.0864,0.087,0.0872,0.0879,0.0886,
Gen3,0.0012,0.0012,0.0012,0.0012,0.0012,0.0073,0.0073,0.0095,0.0103,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0848,0.0848,0.0851,0.0851,0.0852,0.0852,0.0858,0.0858,0.0859,0.0859,0.086,0.0861,0.0876,0.0876,0.0884,
Gen4,0.007,0.0073,0.0095,0.0103,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0848,0.0848,0.0849,0.0851,0.0851,0.0852,0.0852,0.0855,0.0857,0.0857,0.0857,0.0858,0.0858,0.0858,0.0858,0.0858,0.086,0.0863,0.0949,0.0958,
Gen5,0.0134,0.0134,0.0134,0.0134,0.0134,0.082,0.0821,0.085,0.0854,0.0857,0.0857,0.0857,0.0857,0.0858,0.0858,0.0858,0.0858,0.0858,0.0858,0.0859,0.0859,0.0859,0.0859,0.0859,0.0862,0.0863,0.0863,0.0863,0.0956,0.0958,
Gen6,0.0821,0.0821,0.085,0.0851,0.0853,0.0856,0.0856,0.0856,0.0856,0.0857,0.0857,0.0857,0.0857,0.0857,0.0858,0.0858,0.0858,0.0859,0.0859,0.0862,0.0863,0.0863,0.0863,0.0864,0.0864,0.0864,0.095,0.0958,0.0978,0.0983,
Gen7,0.0851,0.0857,0.0857,0.0857,0.0857,0.0858,0.0858,0.0858,0.0858,0.0858,0.0859,0.0859,0.0863,0.0863,0.0872,0.0876,0.0883,0.0887,0.0887,0.0887,0.0888,0.0889,0.0889,0.0889,0.0944,0.0951,0.0978,0.0979,0.0991,0.0997,
Gen8,0.0871,0.0871,0.0871,0.0871,0.0874,0.0876,0.0877,0.0877,0.0877,0.0883,0.0884,0.0887,0.0888,0.0888,0.0888,0.0889,0.0889,0.0889,0.0889,0.0952,0.0995,0.0998,0.0998,0.0999,0.0999,0.1,0.1,0.1002,0.1093,0.1095,

Gen9,0.0951,0.099,0.0991,0.0995,0.0995,0.0996,0.0997,0.0997,0.0997,0.0998,0.0998,0.0999,0.0999,0.1,0.1,0.1001,0.1039,0.1039,0.1041,0.1093,0.1094,0.1094,0.1094,0.1095,0.1095,0.1095,0.1095,0.1096,0.1096,0.1097,
